objectid,creator,title,page_number,total_pages,format,keywords,transcription,photographer,recipient,date,item_size,item_composition,LCSH,location,source,findingaid,rightsstatement,type,language
hs01,"Skillbred, Margaret","Page ND 1a",1,3,image/jpg,"Summer","Summer day quiet town birds and loneliness Fargo trip soon","Swanberg, Beth","Sutton-Flom, Page",2026-02-08,"294 KB","","World War II correspondence","Iowa City IA","Personal collection","Marg and Sam Letters 1945","Permission granted",photograph,English
hs02,"Skillbred, Margaret","Page ND 1b",2,3,image/jpg,"Farm","Cattle sale many animals sold cleaning house","Swanberg, Beth","Sutton-Flom, Page",2026-02-08,"292 KB","","Agriculture correspondence","Iowa City IA","Personal collection","Marg and Sam Letters 1945","Permission granted",photograph,English
hs03,"Skillbred, Margaret","Page ND 1c",3,3,image/jpg,"Chores","Lawn mowing weeds potatoes corn missing you","Swanberg, Beth","Sutton-Flom, Page",2026-02-08,"203 KB","","Rural life correspondence","Iowa City IA","Personal collection","Marg and Sam Letters 1945","Permission granted",photograph,English
hs04,"Halvorson, Selmer","Vining MN 1a",1,2,image/jpg,"Family","Sunset family visit love you","Swanberg, Beth","Sutton-Flom, Page",2026-02-08,"183 KB","","Courtship correspondence","Iowa City IA","Personal collection","Marg and Sam Letters 1945","Permission granted",photograph,English
hs05,"Halvorson, Selmer","Vining MN 1b",2,2,image/jpg,"Farm","Milking cows thinking of you writing is hard","Swanberg, Beth","Sutton-Flom, Page",2026-02-08,"158 KB","","Agriculture correspondence","Iowa City IA","Personal collection","Marg and Sam Letters 1945","Permission granted",photograph,English
hs06,"Skillbred, Margaret","Page ND 2a",1,3,image/jpg,"Letter","Thanks for letter basement water quiet town","Swanberg, Beth","Sutton-Flom, Page",2026-02-08,"221 KB","","Domestic correspondence","Iowa City IA","Personal collection","Marg and Sam Letters 1945","Permission granted",photograph,English
hs07,"Skillbred, Margaret","Page ND 2b",2,3,image/jpg,"Weather","Peaceful town mowing lawn waiting for rain","Swanberg, Beth","Sutton-Flom, Page",2026-02-08,"139 KB","","Rural correspondence","Iowa City IA","Personal collection","Marg and Sam Letters 1945","Permission granted",photograph,English
hs08,"Skillbred, Margaret","Page ND 2c",3,3,image/jpg,"Visitors","Visitors chores love you","Swanberg, Beth","Sutton-Flom, Page",2026-02-08,"59.4 KB","","Family correspondence","Iowa City IA","Personal collection","Marg and Sam Letters 1945","Permission granted",photograph,English
hs09,"Halvorson, Selmer","Vining MN 2a",1,2,image/jpg,"Cattle","Letter received cattle and family news","Swanberg, Beth","Sutton-Flom, Page",2026-02-08,"244 KB","","Agriculture correspondence","Iowa City IA","Personal collection","Marg and Sam Letters 1945","Permission granted",photograph,English
hs10,"Halvorson, Selmer","Vining MN 2b",2,2,image/jpg,"Family","Father sick improving miss you","Swanberg, Beth","Sutton-Flom, Page",2026-02-08,"201 KB","","Family correspondence","Iowa City IA","Personal collection","Marg and Sam Letters 1945","Permission granted",photograph,English
